Month,Day,Sunrise,Sunset
Jan,1,07:09,17:13
Jan,2,07:09,17:14
Jan,3,07:10,17:15
Jan,4,07:10,17:16
Jan,5,07:10,17:16
Jan,6,07:10,17:17
Jan,7,07:10,17:18
Jan,8,07:10,17:19
Jan,9,07:10,17:20
Jan,10,07:10,17:20
Jan,11,07:10,17:21
Jan,12,07:10,17:22
Jan,13,07:10,17:23
Jan,14,07:09,17:24
Jan,15,07:09,17:25
Jan,16,07:09,17:26
Jan,17,07:09,17:27
Jan,18,07:09,17:28
Jan,19,07:08,17:28
Jan,20,07:08,17:29
Jan,21,07:08,17:30
Jan,22,07:07,17:31
Jan,23,07:07,17:32
Jan,24,07:07,17:33
Jan,25,07:06,17:34
Jan,26,07:06,17:35
Jan,27,07:05,17:36
Jan,28,07:05,17:37
Jan,29,07:04,17:38
Jan,30,07:03,17:39
Jan,31,07:03,17:40
Feb,1,07:02,17:41
Feb,2,07:02,17:42
Feb,3,07:01,17:43
Feb,4,07:00,17:44
Feb,5,06:59,17:44
Feb,6,06:59,17:45
Feb,7,06:58,17:46
Feb,8,06:57,17:47
Feb,9,06:56,17:48
Feb,10,06:55,17:49
Feb,11,06:55,17:50
Feb,12,06:54,17:51
Feb,13,06:53,17:52
Feb,14,06:52,17:53
Feb,15,06:51,17:53
Feb,16,06:50,17:54
Feb,17,06:49,17:55
Feb,18,06:48,17:56
Feb,19,06:47,17:57
Feb,20,06:46,17:58
Feb,21,06:45,17:59
Feb,22,06:44,17:59
Feb,23,06:43,18:00
Feb,24,06:42,18:01
Feb,25,06:40,18:02
Feb,26,06:39,18:03
Feb,27,06:38,18:04
Feb,28,06:37,18:04
Mar,1,06:36,18:05
Mar,2,06:35,18:06
Mar,3,06:34,18:07
Mar,4,06:32,18:07
Mar,5,06:31,18:08
Mar,6,06:30,18:09
Mar,7,06:29,18:10
Mar,8,06:27,18:10
Mar,9,06:26,18:11
Mar,10,06:25,18:12
Mar,11,06:24,18:13
Mar,12,07:22,19:13
Mar,13,07:21,19:14
Mar,14,07:20,19:15
Mar,15,07:18,19:15
Mar,16,07:17,19:16
Mar,17,07:16,19:17
Mar,18,07:15,19:18
Mar,19,07:13,19:18
Mar,20,07:12,19:19
Mar,21,07:11,19:20
Mar,22,07:09,19:20
Mar,23,07:08,19:21
Mar,24,07:07,19:22
Mar,25,07:05,19:22
Mar,26,07:04,19:23
Mar,27,07:03,19:24
Mar,28,07:01,19:24
Mar,29,07:00,19:25
Mar,30,06:59,19:26
Mar,31,06:58,19:26
Apr,1,06:56,19:27
Apr,2,06:55,19:28
Apr,3,06:54,19:28
Apr,4,06:52,19:29
Apr,5,06:51,19:30
Apr,6,06:50,19:30
Apr,7,06:49,19:31
Apr,8,06:47,19:32
Apr,9,06:46,19:33
Apr,10,06:45,19:33
Apr,11,06:44,19:34
Apr,12,06:42,19:35
Apr,13,06:41,19:35
Apr,14,06:40,19:36
Apr,15,06:39,19:37
Apr,16,06:38,19:37
Apr,17,06:36,19:38
Apr,18,06:35,19:39
Apr,19,06:34,19:40
Apr,20,06:33,19:40
Apr,21,06:32,19:41
Apr,22,06:31,19:42
Apr,23,06:30,19:42
Apr,24,06:29,19:43
Apr,25,06:28,19:44
Apr,26,06:27,19:45
Apr,27,06:26,19:45
Apr,28,06:25,19:46
Apr,29,06:24,19:47
Apr,30,06:23,19:48
May,1,06:22,19:48
May,2,06:21,19:49
May,3,06:20,19:50
May,4,06:19,19:50
May,5,06:18,19:51
May,6,06:17,19:52
May,7,06:16,19:53
May,8,06:15,19:53
May,9,06:15,19:54
May,10,06:14,19:55
May,11,06:13,19:56
May,12,06:12,19:56
May,13,06:12,19:57
May,14,06:11,19:58
May,15,06:10,19:59
May,16,06:10,19:59
May,17,06:09,20:00
May,18,06:08,20:01
May,19,06:08,20:01
May,20,06:07,20:02
May,21,06:07,20:03
May,22,06:06,20:03
May,23,06:06,20:04
May,24,06:05,20:05
May,25,06:05,20:05
May,26,06:04,20:06
May,27,06:04,20:07
May,28,06:03,20:07
May,29,06:03,20:08
May,30,06:03,20:08
